"u","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
415.79,1,0,0,10,0
436.81,1,0.1,0.1,10,0
457.83,1,0.2,0.2,10,0
478.84,1,0.3,0.3,10,0
499.86,1,0.4,0.4,10,0
520.87,1,0.5,0.5,10,0
542.12,1,0.6,0.6,10,0
563.37,1,0.7,0.7,10,0
584.61,1,0.8,0.8,10,0
605.86,1,0.9,0.9,10,0
627.11,1,1,1,10,0
646.99,1,1.1,1.1,10,0
666.88,1,1.2,1.2,10,0
686.77,1,1.3,1.3,10,0
706.65,1,1.4,1.4,10,0
726.54,1,1.5,1.5,10,0
744.89,1,1.6,1.6,10,0
763.24,1,1.7,1.7,10,0
781.59,1,1.8,1.8,10,0
799.94,1,1.9,1.9,10,0
818.29,1,2,2,10,0
835.43,1,2.1,2.1,10,0
852.57,1,2.2,2.2,10,0
869.72,1,2.3,2.3,10,0
886.86,1,2.4,2.4,10,0
904.01,1,2.5,2.5,10,0
919.82,1,2.6,2.6,10,0
935.63,1,2.7,2.7,10,0
951.44,1,2.8,2.8,10,0
967.26,1,2.9,2.9,10,0
983.07,1,3,3,10,0
998.3,1,3.1,3.1,10,0
1013.5,1,3.2,3.2,10,0
1028.8,1,3.3,3.3,10,0
1044,1,3.4,3.4,10,0
1059.2,1,3.5,3.5,10,0
1074,1,3.6,3.6,10,0
1088.8,1,3.7,3.7,10,0
1103.6,1,3.8,3.8,10,0
1118.4,1,3.9,3.9,10,0
1133.2,1,4,4,10,0
1146.6,1,4.1,4.1,10,0
1159.9,1,4.2,4.2,10,0
1173.3,1,4.3,4.3,10,0
1186.6,1,4.4,4.4,10,0
1200,1,4.5,4.5,10,0
1211.9,1,4.6,4.6,10,0
1223.8,1,4.7,4.7,10,0
1235.8,1,4.8,4.8,10,0
1247.7,1,4.9,4.9,10,0
1259.6,1,5,5,10,0
1271.2,1,5.1,5.1,10,0
1282.8,1,5.2,5.2,10,0
1294.4,1,5.3,5.3,10,0
1306,1,5.4,5.4,10,0
1317.6,1,5.5,5.5,10,0
1328.9,1,5.6,5.6,10,0
1340.3,1,5.7,5.7,10,0
1351.6,1,5.8,5.8,10,0
1363,1,5.9,5.9,10,0
1374.3,1,6,6,10,0
1384.7,1,6.1,6.1,10,0
1395.2,1,6.2,6.2,10,0
1405.6,1,6.3,6.3,10,0
1416,1,6.4,6.4,10,0
1426.5,1,6.5,6.5,10,0
1436,1,6.6,6.6,10,0
1445.6,1,6.7,6.7,10,0
1455.1,1,6.8,6.8,10,0
1464.7,1,6.9,6.9,10,0
1474.2,1,7,7,10,0
1483.1,1,7.1,7.1,10,0
1492,1,7.2,7.2,10,0
1501,1,7.3,7.3,10,0
1509.9,1,7.4,7.4,10,0
1518.8,1,7.5,7.5,10,0
1527.3,1,7.6,7.6,10,0
1535.7,1,7.7,7.7,10,0
1544.2,1,7.8,7.8,10,0
1552.6,1,7.9,7.9,10,0
1561.1,1,8,8,10,0
1569,1,8.1,8.1,10,0
1576.9,1,8.2,8.2,10,0
1584.7,1,8.3,8.3,10,0
1592.6,1,8.4,8.4,10,0
