"u","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
224.46,1,0,0,10,0
246.9,1,0.1,0.1,10,0
269.35,1,0.2,0.2,10,0
291.8,1,0.3,0.3,10,0
314.25,1,0.4,0.4,10,0
336.7,1,0.5,0.5,10,0
359.01,1,0.6,0.6,10,0
381.32,1,0.7,0.7,10,0
403.63,1,0.8,0.8,10,0
425.94,1,0.9,0.9,10,0
448.26,1,1,1,10,0
469.75,1,1.1,1.1,10,0
491.24,1,1.2,1.2,10,0
512.74,1,1.3,1.3,10,0
534.23,1,1.4,1.4,10,0
555.72,1,1.5,1.5,10,0
575.91,1,1.6,1.6,10,0
596.1,1,1.7,1.7,10,0
616.28,1,1.8,1.8,10,0
636.47,1,1.9,1.9,10,0
656.66,1,2,2,10,0
675.55,1,2.1,2.1,10,0
694.44,1,2.2,2.2,10,0
713.33,1,2.3,2.3,10,0
732.23,1,2.4,2.4,10,0
751.12,1,2.5,2.5,10,0
769.06,1,2.6,2.6,10,0
787.01,1,2.7,2.7,10,0
804.96,1,2.8,2.8,10,0
822.91,1,2.9,2.9,10,0
840.85,1,3,3,10,0
857.53,1,3.1,3.1,10,0
874.2,1,3.2,3.2,10,0
890.87,1,3.3,3.3,10,0
907.54,1,3.4,3.4,10,0
924.22,1,3.5,3.5,10,0
939.69,1,3.6,3.6,10,0
955.16,1,3.7,3.7,10,0
970.63,1,3.8,3.8,10,0
986.1,1,3.9,3.9,10,0
1001.6,1,4,4,10,0
1015.5,1,4.1,4.1,10,0
1029.5,1,4.2,4.2,10,0
1043.5,1,4.3,4.3,10,0
1057.4,1,4.4,4.4,10,0
1071.4,1,4.5,4.5,10,0
1084.3,1,4.6,4.6,10,0
1097.1,1,4.7,4.7,10,0
1110,1,4.8,4.8,10,0
1122.9,1,4.9,4.9,10,0
1135.7,1,5,5,10,0
1147.7,1,5.1,5.1,10,0
1159.7,1,5.2,5.2,10,0
1171.7,1,5.3,5.3,10,0
1183.7,1,5.4,5.4,10,0
1195.6,1,5.5,5.5,10,0
1206.7,1,5.6,5.6,10,0
1217.7,1,5.7,5.7,10,0
1228.8,1,5.8,5.8,10,0
1239.8,1,5.9,5.9,10,0
1250.9,1,6,6,10,0
1261.7,1,6.1,6.1,10,0
1272.5,1,6.2,6.2,10,0
1283.4,1,6.3,6.3,10,0
1294.2,1,6.4,6.4,10,0
1305.1,1,6.5,6.5,10,0
1315.5,1,6.6,6.6,10,0
1325.9,1,6.7,6.7,10,0
1336.3,1,6.8,6.8,10,0
1346.7,1,6.9,6.9,10,0
1357.2,1,7,7,10,0
1366.2,1,7.1,7.1,10,0
1375.3,1,7.2,7.2,10,0
1384.3,1,7.3,7.3,10,0
1393.4,1,7.4,7.4,10,0
1402.4,1,7.5,7.5,10,0
1410.1,1,7.6,7.6,10,0
1417.9,1,7.7,7.7,10,0
1425.6,1,7.8,7.8,10,0
1433.4,1,7.9,7.9,10,0
1441.1,1,8,8,10,0
1448.5,1,8.1,8.1,10,0
1456,1,8.2,8.2,10,0
1463.4,1,8.3,8.3,10,0
1470.9,1,8.4,8.4,10,0
1478.3,1,8.5,8.5,10,0
1485.6,1,8.6,8.6,10,0
1492.9,1,8.7,8.7,10,0
1500.2,1,8.8,8.8,10,0
1507.5,1,8.9,8.9,10,0
1514.8,1,9,9,10,0
1521.8,1,9.1,9.1,10,0
1528.7,1,9.2,9.2,10,0
1535.7,1,9.3,9.3,10,0
1542.7,1,9.4,9.4,10,0
1549.6,1,9.5,9.5,10,0
1556.2,1,9.6,9.6,10,0
1562.7,1,9.7,9.7,10,0
1569.2,1,9.8,9.8,10,0
1575.8,1,9.9,9.9,10,0
1582.3,1,10,10,10,0
1588.8,1,10.1,10.1,10,0
1595.3,1,10.2,10.2,10,0
1601.8,1,10.3,10.3,10,0
1608.3,1,10.4,10.4,10,0
1614.8,1,10.5,10.5,10,0
1621.3,1,10.6,10.6,10,0
1627.8,1,10.7,10.7,10,0
1634.3,1,10.8,10.8,10,0
1640.8,1,10.9,10.9,10,0
1647.4,1,11,11,10,0
1652.9,1,11.1,11.1,10,0
1658.4,1,11.2,11.2,10,0
1664,1,11.3,11.3,10,0
1669.5,1,11.4,11.4,10,0
1675.1,1,11.5,11.5,10,0
1679.8,1,11.6,11.6,10,0
1684.5,1,11.7,11.7,10,0
1689.3,1,11.8,11.8,10,0
1694,1,11.9,11.9,10,0
1698.8,1,12,12,10,0
1703.7,1,12.1,12.1,10,0
1708.7,1,12.2,12.2,10,0
1713.6,1,12.3,12.3,10,0
1718.6,1,12.4,12.4,10,0
1723.6,1,12.5,12.5,10,0
1728.7,1,12.6,12.6,10,0
1733.9,1,12.7,12.7,10,0
1739.1,1,12.8,12.8,10,0
1744.2,1,12.9,12.9,10,0
1749.4,1,13,13,10,0
1753.8,1,13.1,13.1,10,0
1758.2,1,13.2,13.2,10,0
1762.7,1,13.3,13.3,10,0
1767.1,1,13.4,13.4,10,0
1771.5,1,13.5,13.5,10,0
1775.3,1,13.6,13.6,10,0
1779.1,1,13.7,13.7,10,0
1782.9,1,13.8,13.8,10,0
1786.6,1,13.9,13.9,10,0
1790.4,1,14,14,10,0
1794,1,14.1,14.1,10,0
1797.7,1,14.2,14.2,10,0
1801.3,1,14.3,14.3,10,0
1804.9,1,14.4,14.4,10,0
1808.5,1,14.5,14.5,10,0
1811.8,1,14.6,14.6,10,0
1815.1,1,14.7,14.7,10,0
1818.4,1,14.8,14.8,10,0
1821.7,1,14.9,14.9,10,0
1825,1,15,15,10,0
1828,1,15.1,15.1,10,0
1830.9,1,15.2,15.2,10,0
1833.8,1,15.3,15.3,10,0
1836.7,1,15.4,15.4,10,0
1839.6,1,15.5,15.5,10,0
1842.2,1,15.6,15.6,10,0
1844.7,1,15.7,15.7,10,0
1847.3,1,15.8,15.8,10,0
1849.8,1,15.9,15.9,10,0
1852.4,1,16,16,10,0
1855,1,16.1,16.1,10,0
1857.7,1,16.2,16.2,10,0
1860.3,1,16.3,16.3,10,0
1863,1,16.4,16.4,10,0
1865.6,1,16.5,16.5,10,0
1868.4,1,16.6,16.6,10,0
1871.1,1,16.7,16.7,10,0
1873.8,1,16.8,16.8,10,0
1876.5,1,16.9,16.9,10,0
1879.2,1,17,17,10,0
1882,1,17.1,17.1,10,0
1884.8,1,17.2,17.2,10,0
1887.5,1,17.3,17.3,10,0
1890.3,1,17.4,17.4,10,0
1893.1,1,17.5,17.5,10,0
1896.1,1,17.6,17.6,10,0
1899,1,17.7,17.7,10,0
1902,1,17.8,17.8,10,0
1905,1,17.9,17.9,10,0
1908,1,18,18,10,0
1911.1,1,18.1,18.1,10,0
1914.2,1,18.2,18.2,10,0
1917.2,1,18.3,18.3,10,0
1920.3,1,18.4,18.4,10,0
1923.4,1,18.5,18.5,10,0
1926.6,1,18.6,18.6,10,0
1929.8,1,18.7,18.7,10,0
1933,1,18.8,18.8,10,0
1936.2,1,18.9,18.9,10,0
1939.4,1,19,19,10,0
1941.9,1,19.1,19.1,10,0
1944.4,1,19.2,19.2,10,0
1946.9,1,19.3,19.3,10,0
1949.4,1,19.4,19.4,10,0
1951.9,1,19.5,19.5,10,0
1953.8,1,19.6,19.6,10,0
1955.6,1,19.7,19.7,10,0
1957.5,1,19.8,19.8,10,0
1959.3,1,19.9,19.9,10,0
1961.2,1,20,20,10,0
1962.9,1,20.1,20.1,10,0
1964.6,1,20.2,20.2,10,0
1966.2,1,20.3,20.3,10,0
1967.9,1,20.4,20.4,10,0
1969.6,1,20.5,20.5,10,0
1971.2,1,20.6,20.6,10,0
1972.7,1,20.7,20.7,10,0
1974.3,1,20.8,20.8,10,0
1975.8,1,20.9,20.9,10,0
1977.4,1,21,21,10,0
1979.3,1,21.1,21.1,10,0
1981.1,1,21.2,21.2,10,0
1982.9,1,21.3,21.3,10,0
1984.8,1,21.4,21.4,10,0
1986.6,1,21.5,21.5,10,0
1988.6,1,21.6,21.6,10,0
1990.6,1,21.7,21.7,10,0
1992.6,1,21.8,21.8,10,0
1994.6,1,21.9,21.9,10,0
1996.6,1,22,22,10,0
1998.8,1,22.1,22.1,10,0
2000.9,1,22.2,22.2,10,0
2003.1,1,22.3,22.3,10,0
2005.2,1,22.4,22.4,10,0
2007.4,1,22.5,22.5,10,0
2009.9,1,22.6,22.6,10,0
2012.5,1,22.7,22.7,10,0
2015,1,22.8,22.8,10,0
2017.6,1,22.9,22.9,10,0
2020.1,1,23,23,10,0
2022.4,1,23.1,23.1,10,0
2024.8,1,23.2,23.2,10,0
2027.1,1,23.3,23.3,10,0
2029.4,1,23.4,23.4,10,0
2031.8,1,23.5,23.5,10,0
2033.7,1,23.6,23.6,10,0
2035.7,1,23.7,23.7,10,0
2037.7,1,23.8,23.8,10,0
2039.7,1,23.9,23.9,10,0
2041.7,1,24,24,10,0
2043.7,1,24.1,24.1,10,0
2045.6,1,24.2,24.2,10,0
2047.6,1,24.3,24.3,10,0
2049.5,1,24.4,24.4,10,0
2051.5,1,24.5,24.5,10,0
2053,1,24.6,24.6,10,0
2054.5,1,24.7,24.7,10,0
2056.1,1,24.8,24.8,10,0
2057.6,1,24.9,24.9,10,0
2059.1,1,25,25,10,0
2060.8,1,25.1,25.1,10,0
2062.5,1,25.2,25.2,10,0
2064.2,1,25.3,25.3,10,0
2065.9,1,25.4,25.4,10,0
2067.6,1,25.5,25.5,10,0
2068.8,1,25.6,25.6,10,0
2070.1,1,25.7,25.7,10,0
2071.3,1,25.8,25.8,10,0
2072.5,1,25.9,25.9,10,0
2073.7,1,26,26,10,0
2074.2,1,26.1,26.1,10,0
2074.6,1,26.2,26.2,10,0
2075,1,26.3,26.3,10,0
2075.4,1,26.4,26.4,10,0
2075.9,1,26.5,26.5,10,0
2076.3,1,26.6,26.6,10,0
2076.7,1,26.7,26.7,10,0
2077.1,1,26.8,26.8,10,0
2077.5,1,26.9,26.9,10,0
2077.9,1,27,27,10,0
2078.3,1,27.1,27.1,10,0
2078.8,1,27.2,27.2,10,0
2079.3,1,27.3,27.3,10,0
2079.8,1,27.4,27.4,10,0
2080.2,1,27.5,27.5,10,0
2080.7,1,27.6,27.6,10,0
2081.2,1,27.7,27.7,10,0
2081.6,1,27.8,27.8,10,0
2082.1,1,27.9,27.9,10,0
2082.6,1,28,28,10,0
2083.2,1,28.1,28.1,10,0
2083.8,1,28.2,28.2,10,0
2084.4,1,28.3,28.3,10,0
2085,1,28.4,28.4,10,0
2085.6,1,28.5,28.5,10,0
2086.7,1,28.6,28.6,10,0
2087.9,1,28.7,28.7,10,0
2089.1,1,28.8,28.8,10,0
2090.3,1,28.9,28.9,10,0
2091.5,1,29,29,10,0
2093.2,1,29.1,29.1,10,0
2095,1,29.2,29.2,10,0
2096.8,1,29.3,29.3,10,0
2098.5,1,29.4,29.4,10,0
2100.3,1,29.5,29.5,10,0
2101.4,1,29.6,29.6,10,0
2102.5,1,29.7,29.7,10,0
2103.6,1,29.8,29.8,10,0
2104.6,1,29.9,29.9,10,0
2105.7,1,30,30,10,0
2106.3,1,30.1,30.1,10,0
2106.9,1,30.2,30.2,10,0
2107.4,1,30.3,30.3,10,0
2108,1,30.4,30.4,10,0
2108.6,1,30.5,30.5,10,0
2108.9,1,30.6,30.6,10,0
2109.2,1,30.7,30.7,10,0
2109.5,1,30.8,30.8,10,0
2109.8,1,30.9,30.9,10,0
2110.1,1,31,31,10,0
2110.1,1,31.1,31.1,10,0
2110.2,1,31.2,31.2,10,0
2110.2,1,31.3,31.3,10,0
2110.3,1,31.4,31.4,10,0
2110.3,1,31.5,31.5,10,0
2110.9,1,31.6,31.6,10,0
2111.5,1,31.7,31.7,10,0
2112.1,1,31.8,31.8,10,0
2112.7,1,31.9,31.9,10,0
2113.3,1,32,32,10,0
2114.2,1,32.1,32.1,10,0
2115.2,1,32.2,32.2,10,0
2116.1,1,32.3,32.3,10,0
2117.1,1,32.4,32.4,10,0
2118,1,32.5,32.5,10,0
2118.5,1,32.6,32.6,10,0
2119.1,1,32.7,32.7,10,0
2119.6,1,32.8,32.8,10,0
2120.1,1,32.9,32.9,10,0
2120.6,1,33,33,10,0
2120.6,1,33.1,33.1,10,0
2120.6,1,33.2,33.2,10,0
2120.6,1,33.3,33.3,10,0
2120.6,1,33.4,33.4,10,0
2120.6,1,33.5,33.5,10,0
2120.7,1,33.6,33.6,10,0
