"u","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3957.4,1,0,0,10,0
3978,1,0.1,0.1,10,0
3998.7,1,0.2,0.2,10,0
4019.4,1,0.3,0.3,10,0
4040.1,1,0.4,0.4,10,0
4060.8,1,0.5,0.5,10,0
4082.7,1,0.6,0.6,10,0
4104.6,1,0.7,0.7,10,0
4126.5,1,0.8,0.8,10,0
4148.4,1,0.9,0.9,10,0
4170.3,1,1,1,10,0
4191.9,1,1.1,1.1,10,0
4213.4,1,1.2,1.2,10,0
4235,1,1.3,1.3,10,0
4256.6,1,1.4,1.4,10,0
4278.1,1,1.5,1.5,10,0
4299.1,1,1.6,1.6,10,0
4320,1,1.7,1.7,10,0
4340.9,1,1.8,1.8,10,0
4361.9,1,1.9,1.9,10,0
4382.8,1,2,2,10,0
4403.1,1,2.1,2.1,10,0
4423.3,1,2.2,2.2,10,0
4443.6,1,2.3,2.3,10,0
4463.8,1,2.4,2.4,10,0
4484.1,1,2.5,2.5,10,0
4503.5,1,2.6,2.6,10,0
4523,1,2.7,2.7,10,0
4542.4,1,2.8,2.8,10,0
4561.9,1,2.9,2.9,10,0
4581.3,1,3,3,10,0
4601,1,3.1,3.1,10,0
4620.7,1,3.2,3.2,10,0
4640.4,1,3.3,3.3,10,0
4660,1,3.4,3.4,10,0
4679.7,1,3.5,3.5,10,0
4699.5,1,3.6,3.6,10,0
4719.4,1,3.7,3.7,10,0
4739.2,1,3.8,3.8,10,0
4759,1,3.9,3.9,10,0
4778.9,1,4,4,10,0
4797.7,1,4.1,4.1,10,0
4816.5,1,4.2,4.2,10,0
4835.3,1,4.3,4.3,10,0
4854.2,1,4.4,4.4,10,0
4873,1,4.5,4.5,10,0
4891,1,4.6,4.6,10,0
4908.9,1,4.7,4.7,10,0
4926.9,1,4.8,4.8,10,0
4944.9,1,4.9,4.9,10,0
4962.9,1,5,5,10,0
4981.1,1,5.1,5.1,10,0
4999.4,1,5.2,5.2,10,0
5017.7,1,5.3,5.3,10,0
5036,1,5.4,5.4,10,0
5054.2,1,5.5,5.5,10,0
5072.8,1,5.6,5.6,10,0
5091.3,1,5.7,5.7,10,0
5109.8,1,5.8,5.8,10,0
5128.3,1,5.9,5.9,10,0
5146.8,1,6,6,10,0
5164.7,1,6.1,6.1,10,0
5182.6,1,6.2,6.2,10,0
5200.5,1,6.3,6.3,10,0
5218.4,1,6.4,6.4,10,0
5236.3,1,6.5,6.5,10,0
5253.6,1,6.6,6.6,10,0
5271,1,6.7,6.7,10,0
5288.3,1,6.8,6.8,10,0
5305.6,1,6.9,6.9,10,0
5323,1,7,7,10,0
5340,1,7.1,7.1,10,0
5356.9,1,7.2,7.2,10,0
5373.9,1,7.3,7.3,10,0
5390.8,1,7.4,7.4,10,0
5407.8,1,7.5,7.5,10,0
5424.8,1,7.6,7.6,10,0
5441.8,1,7.7,7.7,10,0
5458.8,1,7.8,7.8,10,0
5475.8,1,7.9,7.9,10,0
5492.7,1,8,8,10,0
5509.4,1,8.1,8.1,10,0
5526.1,1,8.2,8.2,10,0
5542.8,1,8.3,8.3,10,0
5559.5,1,8.4,8.4,10,0
5576.2,1,8.5,8.5,10,0
5592.3,1,8.6,8.6,10,0
5608.3,1,8.7,8.7,10,0
5624.3,1,8.8,8.8,10,0
5640.4,1,8.9,8.9,10,0
5656.4,1,9,9,10,0
5672.4,1,9.1,9.1,10,0
5688.4,1,9.2,9.2,10,0
5704.4,1,9.3,9.3,10,0
5720.4,1,9.4,9.4,10,0
5736.4,1,9.5,9.5,10,0
5752.5,1,9.6,9.6,10,0
5768.7,1,9.7,9.7,10,0
5784.8,1,9.8,9.8,10,0
5800.9,1,9.9,9.9,10,0
5817.1,1,10,10,10,0
5833.1,1,10.1,10.1,10,0
5849.1,1,10.2,10.2,10,0
5865.2,1,10.3,10.3,10,0
5881.2,1,10.4,10.4,10,0
5897.3,1,10.5,10.5,10,0
5913.1,1,10.6,10.6,10,0
5929,1,10.7,10.7,10,0
5944.9,1,10.8,10.8,10,0
5960.8,1,10.9,10.9,10,0
5976.7,1,11,11,10,0
5992.2,1,11.1,11.1,10,0
6007.7,1,11.2,11.2,10,0
6023.2,1,11.3,11.3,10,0
6038.7,1,11.4,11.4,10,0
6054.2,1,11.5,11.5,10,0
6069.3,1,11.6,11.6,10,0
6084.4,1,11.7,11.7,10,0
6099.6,1,11.8,11.8,10,0
6114.7,1,11.9,11.9,10,0
6129.8,1,12,12,10,0
6144.7,1,12.1,12.1,10,0
6159.6,1,12.2,12.2,10,0
6174.5,1,12.3,12.3,10,0
6189.5,1,12.4,12.4,10,0
6204.4,1,12.5,12.5,10,0
6219.3,1,12.6,12.6,10,0
6234.3,1,12.7,12.7,10,0
