"u","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6443.6,1,53.8,53.8,10,0
6451.2,1,53.9,53.9,10,0
6458.7,1,54,54,10,0
6466.9,1,54.1,54.1,10,0
6475,1,54.2,54.2,10,0
6483.2,1,54.3,54.3,10,0
6491.4,1,54.4,54.4,10,0
6499.6,1,54.5,54.5,10,0
6507.3,1,54.6,54.6,10,0
6515.1,1,54.7,54.7,10,0
6522.8,1,54.8,54.8,10,0
6530.6,1,54.9,54.9,10,0
6538.3,1,55,55,10,0
6545.7,1,55.1,55.1,10,0
6553.1,1,55.2,55.2,10,0
6560.5,1,55.3,55.3,10,0
6567.9,1,55.4,55.4,10,0
6575.3,1,55.5,55.5,10,0
6582.4,1,55.6,55.6,10,0
6589.5,1,55.7,55.7,10,0
6596.6,1,55.8,55.8,10,0
6603.7,1,55.9,55.9,10,0
6610.8,1,56,56,10,0
6617.7,1,56.1,56.1,10,0
6624.5,1,56.2,56.2,10,0
6631.4,1,56.3,56.3,10,0
6638.2,1,56.4,56.4,10,0
6645.1,1,56.5,56.5,10,0
6651.7,1,56.6,56.6,10,0
6658.3,1,56.7,56.7,10,0
6664.9,1,56.8,56.8,10,0
6671.5,1,56.9,56.9,10,0
6678.1,1,57,57,10,0
6685.3,1,57.1,57.1,10,0
6692.4,1,57.2,57.2,10,0
6699.5,1,57.3,57.3,10,0
6706.6,1,57.4,57.4,10,0
6713.7,1,57.5,57.5,10,0
6721.4,1,57.6,57.6,10,0
6729.2,1,57.7,57.7,10,0
6736.9,1,57.8,57.8,10,0
6744.7,1,57.9,57.9,10,0
6752.4,1,58,58,10,0
6759.7,1,58.1,58.1,10,0
6767.1,1,58.2,58.2,10,0
6774.4,1,58.3,58.3,10,0
6781.7,1,58.4,58.4,10,0
6789,1,58.5,58.5,10,0
6795.7,1,58.6,58.6,10,0
6802.4,1,58.7,58.7,10,0
6809.1,1,58.8,58.8,10,0
6815.8,1,58.9,58.9,10,0
6822.4,1,59,59,10,0
6829.3,1,59.1,59.1,10,0
6836.1,1,59.2,59.2,10,0
6843,1,59.3,59.3,10,0
6849.8,1,59.4,59.4,10,0
6856.6,1,59.5,59.5,10,0
6863.4,1,59.6,59.6,10,0
6870.1,1,59.7,59.7,10,0
6876.8,1,59.8,59.8,10,0
6883.6,1,59.9,59.9,10,0
6890.3,1,60,60,10,0
6897.2,1,60.1,60.1,10,0
6904,1,60.2,60.2,10,0
6910.9,1,60.3,60.3,10,0
6917.7,1,60.4,60.4,10,0
6924.6,1,60.5,60.5,10,0
6931.1,1,60.6,60.6,10,0
6937.6,1,60.7,60.7,10,0
6944.1,1,60.8,60.8,10,0
6950.6,1,60.9,60.9,10,0
6957.1,1,61,61,10,0
6963.4,1,61.1,61.1,10,0
6969.6,1,61.2,61.2,10,0
6975.9,1,61.3,61.3,10,0
6982.2,1,61.4,61.4,10,0
6988.5,1,61.5,61.5,10,0
6995.1,1,61.6,61.6,10,0
7001.7,1,61.7,61.7,10,0
7008.3,1,61.8,61.8,10,0
7015,1,61.9,61.9,10,0
7021.6,1,62,62,10,0
7028.3,1,62.1,62.1,10,0
7035.1,1,62.2,62.2,10,0
7041.8,1,62.3,62.3,10,0
7048.6,1,62.4,62.4,10,0
7055.3,1,62.5,62.5,10,0
7062,1,62.6,62.6,10,0
7068.8,1,62.7,62.7,10,0
7075.5,1,62.8,62.8,10,0
7082.2,1,62.9,62.9,10,0
7089,1,63,63,10,0
7095.6,1,63.1,63.1,10,0
7102.2,1,63.2,63.2,10,0
7108.8,1,63.3,63.3,10,0
7115.4,1,63.4,63.4,10,0
7122,1,63.5,63.5,10,0
7128.7,1,63.6,63.6,10,0
7135.3,1,63.7,63.7,10,0
7142,1,63.8,63.8,10,0
7148.7,1,63.9,63.9,10,0
7155.3,1,64,64,10,0
7162.5,1,64.1,64.1,10,0
7169.7,1,64.2,64.2,10,0
7176.8,1,64.3,64.3,10,0
7184,1,64.4,64.4,10,0
7191.1,1,64.5,64.5,10,0
7197.9,1,64.6,64.6,10,0
7204.6,1,64.7,64.7,10,0
7211.4,1,64.8,64.8,10,0
7218.2,1,64.9,64.9,10,0
7224.9,1,65,65,10,0
7230.9,1,65.1,65.1,10,0
7237,1,65.2,65.2,10,0
7243,1,65.3,65.3,10,0
7249,1,65.4,65.4,10,0
7255,1,65.5,65.5,10,0
7261.4,1,65.6,65.6,10,0
7267.7,1,65.7,65.7,10,0
7274.1,1,65.8,65.8,10,0
7280.4,1,65.9,65.9,10,0
7286.8,1,66,66,10,0
7293.3,1,66.1,66.1,10,0
7299.7,1,66.2,66.2,10,0
7306.2,1,66.3,66.3,10,0
7312.7,1,66.4,66.4,10,0
7319.2,1,66.5,66.5,10,0
7325.7,1,66.6,66.6,10,0
7332.2,1,66.7,66.7,10,0
7338.7,1,66.8,66.8,10,0
7345.2,1,66.9,66.9,10,0
7351.7,1,67,67,10,0
7358.5,1,67.1,67.1,10,0
7365.3,1,67.2,67.2,10,0
7372.1,1,67.3,67.3,10,0
7378.9,1,67.4,67.4,10,0
7385.7,1,67.5,67.5,10,0
7392.3,1,67.6,67.6,10,0
7398.9,1,67.7,67.7,10,0
7405.5,1,67.8,67.8,10,0
7412.1,1,67.9,67.9,10,0
7418.7,1,68,68,10,0
7425.4,1,68.1,68.1,10,0
7432,1,68.2,68.2,10,0
7438.7,1,68.3,68.3,10,0
7445.3,1,68.4,68.4,10,0
7451.9,1,68.5,68.5,10,0
7458.4,1,68.6,68.6,10,0
7464.9,1,68.7,68.7,10,0
7471.4,1,68.8,68.8,10,0
7477.9,1,68.9,68.9,10,0
7484.4,1,69,69,10,0
7490.4,1,69.1,69.1,10,0
7496.4,1,69.2,69.2,10,0
7502.5,1,69.3,69.3,10,0
7508.5,1,69.4,69.4,10,0
7514.5,1,69.5,69.5,10,0
7520.1,1,69.6,69.6,10,0
7525.8,1,69.7,69.7,10,0
7531.4,1,69.8,69.8,10,0
7537,1,69.9,69.9,10,0
7542.6,1,70,70,10,0
7548.1,1,70.1,70.1,10,0
7553.5,1,70.2,70.2,10,0
7558.9,1,70.3,70.3,10,0
7564.3,1,70.4,70.4,10,0
7569.8,1,70.5,70.5,10,0
7575.9,1,70.6,70.6,10,0
7582,1,70.7,70.7,10,0
7588.2,1,70.8,70.8,10,0
7594.3,1,70.9,70.9,10,0
7600.4,1,71,71,10,0
7607,1,71.1,71.1,10,0
7613.6,1,71.2,71.2,10,0
7620.1,1,71.3,71.3,10,0
7626.7,1,71.4,71.4,10,0
7633.2,1,71.5,71.5,10,0
7639.3,1,71.6,71.6,10,0
7645.3,1,71.7,71.7,10,0
7651.3,1,71.8,71.8,10,0
7657.4,1,71.9,71.9,10,0
7663.4,1,72,72,10,0
7669.1,1,72.1,72.1,10,0
7674.9,1,72.2,72.2,10,0
7680.6,1,72.3,72.3,10,0
7686.4,1,72.4,72.4,10,0
7692.1,1,72.5,72.5,10,0
7698.3,1,72.6,72.6,10,0
7704.4,1,72.7,72.7,10,0
7710.5,1,72.8,72.8,10,0
7716.7,1,72.9,72.9,10,0
7722.8,1,73,73,10,0
7729.1,1,73.1,73.1,10,0
7735.4,1,73.2,73.2,10,0
7741.7,1,73.3,73.3,10,0
7748,1,73.4,73.4,10,0
7754.3,1,73.5,73.5,10,0
7760.7,1,73.6,73.6,10,0
7767.1,1,73.7,73.7,10,0
7773.4,1,73.8,73.8,10,0
7779.8,1,73.9,73.9,10,0
7786.2,1,74,74,10,0
7792.5,1,74.1,74.1,10,0
7798.9,1,74.2,74.2,10,0
7805.3,1,74.3,74.3,10,0
7811.6,1,74.4,74.4,10,0
7818,1,74.5,74.5,10,0
7824.4,1,74.6,74.6,10,0
7830.8,1,74.7,74.7,10,0
7837.2,1,74.8,74.8,10,0
7843.6,1,74.9,74.9,10,0
7850,1,75,75,10,0
7856.6,1,75.1,75.1,10,0
7863.2,1,75.2,75.2,10,0
7869.8,1,75.3,75.3,10,0
7876.5,1,75.4,75.4,10,0
7883.1,1,75.5,75.5,10,0
7889.4,1,75.6,75.6,10,0
7895.8,1,75.7,75.7,10,0
7902.1,1,75.8,75.8,10,0
7908.5,1,75.9,75.9,10,0
7914.8,1,76,76,10,0
7921,1,76.1,76.1,10,0
7927.2,1,76.2,76.2,10,0
7933.4,1,76.3,76.3,10,0
7939.6,1,76.4,76.4,10,0
7945.8,1,76.5,76.5,10,0
7951.6,1,76.6,76.6,10,0
7957.4,1,76.7,76.7,10,0
7963.2,1,76.8,76.8,10,0
7969,1,76.9,76.9,10,0
7974.8,1,77,77,10,0
7980.3,1,77.1,77.1,10,0
7985.8,1,77.2,77.2,10,0
7991.3,1,77.3,77.3,10,0
7996.8,1,77.4,77.4,10,0
8002.4,1,77.5,77.5,10,0
8007.9,1,77.6,77.6,10,0
8013.5,1,77.7,77.7,10,0
8019,1,77.8,77.8,10,0
8024.6,1,77.9,77.9,10,0
8030.1,1,78,78,10,0
8035.5,1,78.1,78.1,10,0
8040.8,1,78.2,78.2,10,0
8046.1,1,78.3,78.3,10,0
8051.4,1,78.4,78.4,10,0
8056.7,1,78.5,78.5,10,0
8062.3,1,78.6,78.6,10,0
8067.9,1,78.7,78.7,10,0
8073.5,1,78.8,78.8,10,0
8079,1,78.9,78.9,10,0
8084.6,1,79,79,10,0
8090.6,1,79.1,79.1,10,0
8096.6,1,79.2,79.2,10,0
8102.6,1,79.3,79.3,10,0
8108.6,1,79.4,79.4,10,0
8114.6,1,79.5,79.5,10,0
8120.4,1,79.6,79.6,10,0
8126.2,1,79.7,79.7,10,0
8132.1,1,79.8,79.8,10,0
8137.9,1,79.9,79.9,10,0
8143.8,1,80,80,10,0
8149.3,1,80.1,80.1,10,0
8154.8,1,80.2,80.2,10,0
8160.4,1,80.3,80.3,10,0
8165.9,1,80.4,80.4,10,0
8171.5,1,80.5,80.5,10,0
8176.5,1,80.6,80.6,10,0
8181.6,1,80.7,80.7,10,0
8186.6,1,80.8,80.8,10,0
8191.7,1,80.9,80.9,10,0
8196.8,1,81,81,10,0
8201.3,1,81.1,81.1,10,0
8205.8,1,81.2,81.2,10,0
8210.3,1,81.3,81.3,10,0
8214.8,1,81.4,81.4,10,0
8219.3,1,81.5,81.5,10,0
8223.7,1,81.6,81.6,10,0
8228,1,81.7,81.7,10,0
8232.4,1,81.8,81.8,10,0
8236.7,1,81.9,81.9,10,0
8241.1,1,82,82,10,0
8245.6,1,82.1,82.1,10,0
8250,1,82.2,82.2,10,0
8254.5,1,82.3,82.3,10,0
8258.9,1,82.4,82.4,10,0
8263.4,1,82.5,82.5,10,0
8267.7,1,82.6,82.6,10,0
8272,1,82.7,82.7,10,0
8276.3,1,82.8,82.8,10,0
8280.6,1,82.9,82.9,10,0
8284.8,1,83,83,10,0
8288.7,1,83.1,83.1,10,0
8292.5,1,83.2,83.2,10,0
8296.4,1,83.3,83.3,10,0
8300.2,1,83.4,83.4,10,0
8304.1,1,83.5,83.5,10,0
8308.2,1,83.6,83.6,10,0
8312.3,1,83.7,83.7,10,0
8316.4,1,83.8,83.8,10,0
8320.5,1,83.9,83.9,10,0
8324.7,1,84,84,10,0
8329.1,1,84.1,84.1,10,0
8333.6,1,84.2,84.2,10,0
8338.1,1,84.3,84.3,10,0
8342.5,1,84.4,84.4,10,0
8347,1,84.5,84.5,10,0
8351.1,1,84.6,84.6,10,0
8355.2,1,84.7,84.7,10,0
8359.2,1,84.8,84.8,10,0
8363.3,1,84.9,84.9,10,0
8367.4,1,85,85,10,0
8371.3,1,85.1,85.1,10,0
8375.1,1,85.2,85.2,10,0
8379,1,85.3,85.3,10,0
8382.8,1,85.4,85.4,10,0
8386.6,1,85.5,85.5,10,0
8390.3,1,85.6,85.6,10,0
8394,1,85.7,85.7,10,0
8397.7,1,85.8,85.8,10,0
8401.3,1,85.9,85.9,10,0
8405,1,86,86,10,0
8408.4,1,86.1,86.1,10,0
8411.8,1,86.2,86.2,10,0
8415.3,1,86.3,86.3,10,0
8418.7,1,86.4,86.4,10,0
8422.1,1,86.5,86.5,10,0
8425.1,1,86.6,86.6,10,0
8428.1,1,86.7,86.7,10,0
8431.1,1,86.8,86.8,10,0
8434.1,1,86.9,86.9,10,0
8437,1,87,87,10,0
8439.4,1,87.1,87.1,10,0
8441.8,1,87.2,87.2,10,0
8444.1,1,87.3,87.3,10,0
8446.5,1,87.4,87.4,10,0
8448.8,1,87.5,87.5,10,0
8451.2,1,87.6,87.6,10,0
8453.6,1,87.7,87.7,10,0
8456.1,1,87.8,87.8,10,0
8458.5,1,87.9,87.9,10,0
8460.9,1,88,88,10,0
8463.6,1,88.1,88.1,10,0
8466.2,1,88.2,88.2,10,0
8468.9,1,88.3,88.3,10,0
8471.6,1,88.4,88.4,10,0
8474.3,1,88.5,88.5,10,0
8477.3,1,88.6,88.6,10,0
8480.2,1,88.7,88.7,10,0
8483.2,1,88.8,88.8,10,0
8486.2,1,88.9,88.9,10,0
8489.2,1,89,89,10,0
8492.4,1,89.1,89.1,10,0
8495.7,1,89.2,89.2,10,0
8498.9,1,89.3,89.3,10,0
8502.1,1,89.4,89.4,10,0
8505.4,1,89.5,89.5,10,0
8508.2,1,89.6,89.6,10,0
8511.1,1,89.7,89.7,10,0
8514,1,89.8,89.8,10,0
8516.9,1,89.9,89.9,10,0
8519.7,1,90,90,10,0
8522.3,1,90.1,90.1,10,0
8524.8,1,90.2,90.2,10,0
8527.4,1,90.3,90.3,10,0
8529.9,1,90.4,90.4,10,0
